"_time","sum(counts)","_span"
1613055600,3542812,600
1613056200,3178905,600
1613056800,2973552,600
1613057400,2825833,600
1613058000,2702544,600
1613058600,3254785,600
1613059200,3243771,600
1613059800,3094646,600
1613060400,2517255,600
1613061000,3049188,600
1613061600,2891786,600
1613062200,2835420,600
1613062800,2937262,600
1613063400,3916259,600
1613064000,3519391,600
1613064600,3444700,600
1613065200,3548921,600
1613065800,3576805,600
1613066400,3650639,600
1613067000,3637796,600
1613067600,3268801,600
1613068200,3419733,600
1613068800,3670591,600
1613069400,3805886,600
1613070000,3508511,600
1613070600,3522361,600
1613071200,3473072,600
1613071800,3295723,600
1613072400,3410407,600
1613073000,3458499,600
1613073600,3448204,600
1613074200,3456663,600
1613074800,3275809,600
1613075400,3363479,600
1613076000,3148005,600
1613076600,3039321,600
1613077200,8307357,600
1613077800,3187219,600
1613078400,3400471,600
1613079000,3226017,600
1613079600,3266712,600
1613080200,3338645,600
1613080800,3570845,600
1613081400,3901190,600
1613082000,4082525,600
1613082600,4186167,600
1613083200,4132579,600
1613083800,4072481,600
1613084400,4382264,600
1613085000,4545705,600
1613085600,4864173,600
1613086200,5553632,600
1613086800,5994887,600
1613087400,5823452,600
1613088000,6071987,600
1613088600,6065455,600
1613089200,6091594,600
1613089800,5816533,600
1613090400,5879375,600
1613091000,6303559,600
1613091600,6511727,600
1613092200,6618608,600
1613092800,6545668,600
1613093400,6564151,600
1613094000,6586574,600
1613094600,6449275,600
1613095200,6682965,600
1613095800,6770736,600
1613096400,6705917,600
1613097000,6513303,600
1613097600,6494236,600
1613098200,6710222,600
1613098800,7072774,600
1613099400,7304750,600
1613100000,7554438,600
1613100600,7685800,600
1613101200,7515944,600
1613101800,7496417,600
1613102400,7605091,600
1613103000,7484170,600
1613103600,8744407,600
1613104200,8039115,600
1613104800,7103678,600
1613105400,6997772,600
1613106000,7105130,600
1613106600,7135442,600
1613107200,6984783,600
1613107800,7040399,600
1613108400,9723220,600
1613109000,8384529,600
1613109600,7291663,600
1613110200,7218040,600
1613110800,7097417,600
1613111400,6880988,600
1613112000,6404962,600
1613112600,7367347,600
1613113200,7072714,600
1613113800,6975027,600
1613114400,6882797,600
