"_time","sum(counts)","_span"
1614524400,5592281,600
1614525000,5453142,600
1614525600,5412158,600
1614526200,5970197,600
1614526800,5708043,600
1614527400,5387815,600
1614528000,5419193,600
1614528600,5069106,600
1614529200,5127316,600
1614529800,5139935,600
1614530400,5344204,600
1614531000,5280752,600
1614531600,5207953,600
1614532200,5315377,600
1614532800,5125769,600
1614533400,4741739,600
1614534000,5056420,600
1614534600,5623649,600
1614535200,5479826,600
1614535800,5452957,600
1614536400,5324216,600
1614537000,4911498,600
1614537600,4936386,600
1614538200,4940399,600
1614538800,5502644,600
1614539400,5316631,600
1614540000,5205811,600
1614540600,5641731,600
1614541200,5423820,600
1614541800,5855649,600
1614542400,5046761,600
1614543000,5357479,600
1614543600,4697494,600
1614544200,4854645,600
1614544800,5277723,600
1614545400,5223900,600
1614546000,5183435,600
1614546600,4941212,600
1614547200,4626873,600
1614547800,5074175,600
1614548400,4981142,600
1614549000,5384998,600
1614549600,5424424,600
1614550200,5590498,600
1614550800,5799687,600
1614551400,5454641,600
1614552000,5440158,600
1614552600,5614729,600
1614553200,5847558,600
1614553800,6734206,600
1614554400,7131096,600
1614555000,8580026,600
1614555600,7433252,600
1614556200,7263319,600
1614556800,7479942,600
1614557400,7761022,600
1614558000,8056407,600
1614558600,8043039,600
1614559200,8499041,600
1614559800,9187493,600
1614560400,8712325,600
1614561000,8713917,600
1614561600,9043217,600
1614562200,8912550,600
1614562800,9551331,600
1614563400,8404494,600
1614564000,8858513,600
1614564600,8327487,600
1614565200,8699425,600
1614565800,8467945,600
1614566400,8425551,600
1614567000,8178464,600
1614567600,9119406,600
1614568200,9073592,600
1614568800,9280854,600
1614569400,9481056,600
1614570000,9580982,600
1614570600,9304438,600
1614571200,8824932,600
1614571800,8993692,600
1614572400,8922749,600
1614573000,8822811,600
1614573600,7588889,600
1614574200,9000124,600
1614574800,9721720,600
1614575400,8751667,600
1614576000,8853220,600
1614576600,8673550,600
1614577200,8950743,600
1614577800,8927686,600
1614578400,9065537,600
1614579000,8887623,600
1614579600,8955896,600
1614580200,8862309,600
1614580800,8188028,600
1614581400,8736924,600
1614582000,8994757,600
1614582600,9076846,600
1614583200,9127722,600
1614583800,8967129,600
1614584400,8874318,600
1614585000,8860003,600
1614585600,8909833,600
1614586200,9239913,600
1614586800,9330746,600
1614587400,8475579,600
1614588000,7799731,600
1614588600,8413600,600
1614589200,8594019,600
1614589800,7584394,600
1614590400,7772835,600
1614591000,7520061,600
1614591600,7374562,600
1614592200,7141126,600
1614592800,7147138,600
1614593400,7058983,600
1614594000,7185413,600
1614594600,8426550,600
1614595200,7081318,600
1614595800,7704167,600
1614596400,8728050,600
1614597000,7487050,600
1614597600,8096976,600
1614598200,8386478,600
1614598800,7655310,600
1614599400,7244129,600
1614600000,7606546,600
1614600600,7079551,600
1614601200,6883480,600
1614601800,6302380,600
1614602400,6487449,600
1614603000,6405353,600
1614603600,6007156,600
1614604200,6262300,600
1614604800,6128377,600
1614605400,6329784,600
1614606000,5843879,600
1614606600,6178871,600
1614607200,6272223,600
1614607800,6088476,600
1614608400,6198330,600
1614609000,6060508,600
1614609600,5861588,600
1614610200,5566862,600
1614610800,6228852,600
1614611400,6147427,600
1614612000,6463049,600
1614612600,6120542,600
1614613200,6510755,600
1614613800,6775285,600
1614614400,6130506,600
1614615000,5924362,600
1614615600,5879863,600
1614616200,5539538,600
1614616800,4855770,600
1614617400,5233775,600
1614618000,5398343,600
1614618600,5693602,600
1614619200,5502384,600
1614619800,5447651,600
1614620400,5040675,600
1614621000,5643574,600
1614621600,5328322,600
1614622200,5496055,600
1614622800,5467775,600
1614623400,5545157,600
1614624000,5156826,600
1614624600,4934358,600
1614625200,5098888,600
1614625800,5480838,600
1614626400,5475861,600
1614627000,6033401,600
1614627600,5418596,600
1614628200,5419150,600
1614628800,5265756,600
1614629400,5776514,600
1614630000,5130422,600
1614630600,5138713,600
1614631200,4972659,600
1614631800,5830772,600
1614632400,6538899,600
1614633000,6087486,600
1614633600,5910523,600
1614634200,6577674,600
1614634800,6960677,600
1614635400,6982489,600
1614636000,6631012,600
1614636600,6700330,600
1614637200,6466912,600
1614637800,6539145,600
1614638400,6593176,600
1614639000,6728650,600
1614639600,6695998,600
1614640200,7532996,600
1614640800,8263717,600
1614641400,8389063,600
1614642000,8349949,600
1614642600,8313063,600
1614643200,8310528,600
1614643800,8279216,600
1614644400,7398606,600
1614645000,8704907,600
1614645600,7931027,600
1614646200,7207416,600
1614646800,8286809,600
1614647400,8824153,600
1614648000,8598501,600
1614648600,8585429,600
1614649200,8497143,600
1614649800,9444033,600
1614650400,9140811,600
1614651000,8606499,600
1614651600,8478218,600
1614652200,8729472,600
1614652800,8773765,600
1614653400,7556492,600
1614654000,9233029,600
1614654600,9551230,600
1614655200,9706862,600
1614655800,10101998,600
1614656400,10410914,600
1614657000,10466824,600
1614657600,10365923,600
1614658200,10216325,600
1614658800,10984496,600
1614659400,10169054,600
1614660000,10383444,600
1614660600,9275426,600
1614661200,10435152,600
1614661800,10522473,600
1614662400,10544560,600
1614663000,9916936,600
1614663600,10119787,600
1614664200,10023846,600
1614664800,9749264,600
1614665400,10266109,600
1614666000,10421765,600
1614666600,9938942,600
1614667200,9697706,600
1614667800,8956320,600
1614668400,9211231,600
1614669000,9221849,600
1614669600,9449353,600
1614670200,9478755,600
1614670800,10410597,600
1614671400,9774269,600
1614672000,9154784,600
1614672600,8709163,600
1614673200,8799018,600
1614673800,8944457,600
1614674400,8281317,600
1614675000,7844548,600
1614675600,7997030,600
