"_time","sum(counts)","_span"
1615993200,3551119,600
1615993800,3517804,600
1615994400,3553455,600
1615995000,3625036,600
1615995600,3664903,600
1615996200,3486503,600
1615996800,3480593,600
1615997400,3582042,600
1615998000,3487264,600
1615998600,3284283,600
1615999200,3287707,600
1615999800,3256301,600
1616000400,3084049,600
1616001000,3135047,600
1616001600,3023832,600
1616002200,3127794,600
1616002800,3130631,600
1616003400,3044584,600
1616004000,3058036,600
1616004600,3035851,600
1616005200,3035376,600
1616005800,3003703,600
1616006400,2990305,600
1616007000,3106389,600
1616007600,2987793,600
1616008200,3073597,600
1616008800,3014794,600
1616009400,3049000,600
1616010000,3433160,600
1616010600,3002511,600
1616011200,5340149,600
1616011800,2943813,600
1616012400,2877265,600
1616013000,3070133,600
1616013600,2899225,600
1616014200,2913476,600
1616014800,3007414,600
1616015400,2833693,600
1616016000,2965755,600
1616016600,3001936,600
1616017200,2972138,600
1616017800,3010260,600
1616018400,3207806,600
1616019000,3126125,600
1616019600,3227850,600
1616020200,3466975,600
1616020800,3402328,600
1616021400,3593598,600
1616022000,3701771,600
1616022600,3797929,600
1616023200,4217860,600
1616023800,5033816,600
1616024400,4943125,600
1616025000,4772623,600
1616025600,5941358,600
1616026200,5102654,600
1616026800,5179816,600
1616027400,5341197,600
1616028000,5308336,600
1616028600,5495921,600
1616029200,5575804,600
1616029800,5569658,600
1616030400,5552145,600
1616031000,5619230,600
1616031600,5391863,600
1616032200,5656154,600
1616032800,5485062,600
1616033400,5543718,600
1616034000,5573849,600
1616034600,5313573,600
1616035200,4561150,600
1616035800,5542777,600
1616036400,6045886,600
1616037000,6304895,600
1616037600,6113887,600
1616038200,6726776,600
1616038800,6758643,600
1616039400,6669246,600
1616040000,9134855,600
1616040600,6498411,600
1616041200,6191253,600
1616041800,6038029,600
1616042400,6254600,600
1616043000,6206080,600
1616043600,6432640,600
1616044200,5818382,600
1616044800,6101162,600
1616045400,6177769,600
1616046000,6369623,600
1616046600,6321063,600
1616047200,6331913,600
1616047800,6640154,600
1616048400,6288703,600
1616049000,6344065,600
1616049600,7763512,600
